filename,beta1,beta2,learning_rate,rel_inp_dropout,rel_hid_dropout,rel_hidden_dim,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V6_271_5fold_1_20200616001003,0.05,0.03,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001023/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001023/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001023/test/"" ",0.0752,0.1682,0.2299,0.4253,174.8652,0.1277,0.0325,0.1769,0.2354,0.3947,230.8609,0.1064,0.2302
C_S_V6_271_5fold_1_20200616001004,0.01,0.05,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001025/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001025/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001025/test/"" ",0.1097,0.2215,0.28,0.466,152.767,0.1709,0.039,0.1886,0.2555,0.4064,222.2685,0.1147,0.1599
C_S_V6_271_5fold_1_20200616001103,0.05,0.05,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001124/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001124/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001124/test/"" ",0.1087,0.2351,0.2926,0.5026,144.6562,0.1746,0.041,0.1801,0.238,0.381,235.7354,0.1139,0.3212
C_S_V6_271_5fold_1_20200616001203,0.05,0.07,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001225/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001225/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616001225/test/"" ",0.0951,0.1933,0.2571,0.465,140.3532,0.1517,0.0442,0.1788,0.2341,0.4109,223.0871,0.1139,0.3108
C_S_V6_271_5fold_1_20200616025708,0.01,0.07,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025724/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025724/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025724/test/"" ",0.1034,0.2184,0.2989,0.5538,121.209,0.1726,0.0423,0.1782,0.2256,0.3505,240.9681,0.1095,0.1495
C_S_V6_271_5fold_1_20200616025808,0.01,0.08,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025823/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025823/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025823/test/"" ",0.1452,0.3145,0.3981,0.6364,102.1933,0.2343,0.0449,0.1899,0.2289,0.3765,243.5858,0.1163,0.1847
C_S_V6_271_5fold_1_20200616025857,0.05,0.08,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025911/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025911/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025911/test/"" ",0.1055,0.2205,0.2748,0.5047,137.9394,0.1688,0.0371,0.1951,0.2477,0.4135,220.5774,0.1179,0.3433
C_S_V6_271_5fold_1_20200616025908,0.03,0.01,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025923/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025923/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616025923/test/"" ",0.0846,0.1745,0.2142,0.3563,198.4399,0.1322,0.0267,0.156,0.2074,0.3687,235.87,0.0953,0.1912
C_S_V6_271_5fold_1_20200616025957,0.07,0.01,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616030012/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616030012/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616030012/test/"" ",0.0669,0.1379,0.1996,0.3281,207.2905,0.1101,0.0293,0.1541,0.2126,0.3947,226.8531,0.0967,0.29
C_S_V6_271_5fold_1_20200616030057,0.07,0.03,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616030114/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616030114/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616030114/test/"" ",0.0899,0.2121,0.2978,0.5068,148.3187,0.1581,0.0377,0.1645,0.2152,0.3726,234.8004,0.1032,0.3108
C_S_V6_271_5fold_1_20200616030157,0.07,0.05,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616030214/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616030214/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616030214/test/"" ",0.1076,0.2309,0.302,0.4974,138.5768,0.1741,0.0273,0.1769,0.2295,0.3921,233.015,0.1032,0.3056
C_S_V6_271_5fold_1_20200616054900,0.03,0.03,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616054915/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616054915/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616054915/test/"" ",0.1118,0.2539,0.3062,0.4619,155.9007,0.1824,0.0332,0.1795,0.2386,0.3771,246.0397,0.1089,0.2367
C_S_V6_271_5fold_1_20200616055000,0.03,0.05,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055015/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055015/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055015/test/"" ",0.1254,0.2571,0.3051,0.4995,138.8474,0.1921,0.0397,0.1918,0.2497,0.3849,229.5696,0.1189,0.2913
C_S_V6_271_5fold_1_20200616055051,0.07,0.07,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055107/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055107/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055107/test/"" ",0.1066,0.2111,0.2696,0.4869,132.372,0.1651,0.0436,0.1957,0.2458,0.407,231.6599,0.1179,0.3329
C_S_V6_271_5fold_1_20200616055100,0.03,0.07,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055116/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055116/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055116/test/"" ",0.092,0.2268,0.28,0.4504,150.4222,0.1587,0.0481,0.184,0.2328,0.3914,227.3843,0.1172,0.238
C_S_V6_271_5fold_1_20200616055151,0.07,0.08,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055209/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055209/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055209/test/"" ",0.1014,0.2059,0.2633,0.4775,139.5758,0.1596,0.039,0.1931,0.2458,0.4038,240.4187,0.1149,0.29
C_S_V6_271_5fold_1_20200616055252,0.08,0.01,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055309/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055309/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055309/test/"" ",0.0836,0.1682,0.2069,0.3584,198.1776,0.1284,0.0364,0.158,0.2113,0.3771,245.119,0.1027,0.3082
C_S_V6_271_5fold_1_20200616055352,0.08,0.03,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055410/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055410/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055410/test/"" ",0.0815,0.1891,0.2466,0.4922,151.348,0.1412,0.0364,0.1638,0.2276,0.4012,228.2425,0.104,0.3264
C_S_V6_271_5fold_1_20200616084317,0.08,0.05,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084332/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084332/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084332/test/"" ",0.1233,0.2529,0.3103,0.5204,135.5935,0.188,0.0358,0.1684,0.2243,0.3791,235.868,0.1057,0.3329
C_S_V6_271_5fold_1_20200616084348,0.03,0.08,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084402/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084402/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084402/test/"" ",0.0972,0.2194,0.2874,0.4713,134.4911,0.1611,0.039,0.1834,0.2315,0.3713,236.959,0.1109,0.2172
C_S_V6_271_5fold_1_20200616084417,0.08,0.07,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084432/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084432/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084432/test/"" ",0.1097,0.2184,0.2811,0.4984,128.2978,0.1697,0.0403,0.1736,0.2295,0.4298,224.6268,0.1108,0.329
C_S_V6_271_5fold_1_20200616084517,0.08,0.08,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084533/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084533/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084533/test/"" ",0.1327,0.2414,0.3083,0.5319,129.3041,0.1961,0.0384,0.1892,0.2471,0.4077,223.5514,0.1147,0.3511
C_S_V6_271_5fold_1_20200616120013,0.0,0.01,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616120028/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616120028/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616120028/test/"" ",0.1212,0.2633,0.3229,0.466,182.4974,0.1902,0.002,0.2295,0.3036,0.4772,170.0403,0.1109,0.0156
C_S_V6_271_5fold_1_20200616120213,0.0,0.05,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616120230/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616120230/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616120230/test/"" ",0.2059,0.4859,0.5967,0.7941,63.2476,0.3371,0.0026,0.3726,0.4824,0.6651,118.2276,0.1734,0.0013
C_S_V6_271_5fold_1_20200618121725,1.0,1.0,0.01,0.9,0.7,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618121738/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618121738/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618121738/test/"" ",0.0178,0.0564,0.0878,0.2978,220.4598,0.0476,0.0156,0.052,0.0904,0.2432,297.1697,0.0425,0.4733
C_S_V6_271_5fold_1_20200618124052,1.0,5.0,0.01,0.9,0.7,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618124107/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618124107/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618124107/test/"" ",0.0585,0.1505,0.2184,0.4399,164.883,0.1127,0.0182,0.0663,0.0943,0.2315,299.3108,0.0494,0.0039
C_S_V6_271_5fold_1_20200618234326,1.0,1.0,0.001,0.7,0.3,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618234340/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618234340/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618234340/test/"" ",0.0042,0.0084,0.0178,0.0993,413.1275,0.0143,0.0013,0.0215,0.0377,0.1222,405.6931,0.018,0.4395
C_S_V6_271_5fold_1_20200618234526,1.0,1.0,0.007,0.7,0.3,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618234542/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618234542/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200618234542/test/"" ",0.0617,0.162,0.2414,0.4619,143.6656,0.1219,0.0046,0.0384,0.0689,0.21,331.2659,0.0295,0.5332
C_S_V6_271_5fold_1_20200619102352,1.0,4.0,0.01,0.7,0.3,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200619102407/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200619102407/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200619102407/test/"" ",0.0679,0.1661,0.2278,0.4838,158.5893,0.1251,0.0065,0.0351,0.067,0.2159,325.974,0.0304,0.5059
C_S_V6_271_5fold_1_20200621202150,0.07,0.07,0.01,0.7,0.3,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621202205/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621202205/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621202205/test/"" ",0.2059,0.4817,0.5967,0.7785,68.1745,0.3334,0.0202,0.2341,0.3212,0.5618,148.0007,0.1281,0.2198
C_S_V6_271_5fold_1_20200621202250,0.05,0.08,0.01,0.7,0.3,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621202306/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621202306/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621202306/test/"" ",0.2027,0.4702,0.5789,0.7847,67.7586,0.3307,0.028,0.2471,0.3414,0.5735,146.8127,0.1386,0.1651
C_S_V6_271_5fold_1_20200621234026,0.05,0.05,0.01,0.7,0.3,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234039/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234039/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234039/test/"" ",0.2769,0.559,0.6698,0.8328,56.6071,0.4004,0.026,0.2692,0.3602,0.6151,136.2243,0.1435,0.3121
C_S_V6_271_5fold_1_20200621234139,0.07,0.07,0.007,0.7,0.3,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234152/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234152/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234152/test/"" ",0.2445,0.4943,0.6123,0.7931,64.2341,0.3625,0.0247,0.249,0.3394,0.5774,143.8244,0.1348,0.3589
C_S_V6_271_5fold_1_20200621234226,0.05,0.08,0.01,0.7,0.3,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234241/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234241/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234241/test/"" ",0.2644,0.5643,0.6688,0.8349,55.0637,0.3972,0.0228,0.275,0.3791,0.6086,134.2003,0.1444,0.329
C_S_V6_271_5fold_1_20200621234239,0.07,0.07,0.006,0.7,0.3,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234254/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234254/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200621234254/test/"" ",0.233,0.4765,0.582,0.7847,63.187,0.3504,0.0143,0.2542,0.3407,0.5787,143.6229,0.1297,0.2393
C_S_V6_271_5fold_1_20200622213409,2.0,1.0,0.01,0.2,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622213427/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622213427/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622213427/test/"" ",0.187,0.4222,0.5392,0.7409,78.8077,0.3008,0.0111,0.2191,0.3043,0.502,172.0299,0.1136,0.3732
C_S_V6_271_5fold_1_20200622214118,2.0,1.0,0.01,0.2,0.1,500,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622214135/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622214135/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622214135/test/"" ",0.1818,0.4065,0.5172,0.7325,79.6876,0.2915,0.0208,0.2367,0.3257,0.5117,170.3472,0.1253,0.4655
C_S_V6_271_5fold_1_20200622214218,2.0,1.0,0.07,0.2,0.1,500,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622214236/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622214236/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622214236/test/"" ",0.2727,0.5695,0.6771,0.8433,53.5287,0.405,0.0176,0.2718,0.3706,0.5897,146.6847,0.1416,0.4616
C_S_V6_271_5fold_1_20200622233709,2.0,1.0,0.06,0.2,0.1,500,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622233723/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622233723/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622233723/test/"" ",0.279,0.5611,0.6594,0.8621,52.4044,0.41,0.0221,0.2731,0.3726,0.606,143.7971,0.144,0.4265
C_S_V6_271_5fold_1_20200622233723,2.0,1.0,0.04,0.2,0.1,500,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622233738/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622233738/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200622233738/test/"" ",0.2675,0.5852,0.6907,0.8548,51.604,0.4059,0.0176,0.2692,0.3628,0.6079,141.7399,0.1411,0.4603
C_S_V6_271_5fold_1_20200623025141,2.0,1.0,0.03,0.2,0.1,500,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200623025154/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200623025154/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200623025154/test/"" ",0.2581,0.5319,0.6416,0.837,56.9091,0.3904,0.0202,0.2575,0.3453,0.5696,154.3231,0.1342,0.4538
C_S_V6_271_5fold_1_20200623041012,2.0,1.0,0.02,0.2,0.1,500,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200623041025/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200623041025/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200623041025/test/"" ",0.1808,0.4284,0.5486,0.8056,64.8495,0.2987,0.0215,0.2666,0.3492,0.5722,147.0787,0.1425,0.4681
