filename,train_kg,predict_relation,alignment_module,learning_rate,beta1,beta2,margin,rel_inp_dropout,rel_hid_dropout,stop_metric,rel_hidden_dim,loss_norm,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,kg1-c-hits1,kg1-c-hits5,kg1-c-hits10,kg1-c-hits50,kg1-c-mr,kg1-c-mrr,kg1-rel-acc,kg2-c-hits1,kg2-c-hits5,kg2-c-hits10,kg2-c-hits50,kg2-c-mr,kg2-c-mrr,kg2-rel-acc
C_S_V0_271_5fold_1_20200712222729,kg12,False,sharing,0.001,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712222751/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712222751/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712222751/valid2/"" ",0.0175,0.0506,0.0804,0.2047,313.622,0.0413,0.036,0.1147,0.176,0.3733,232.84,0.0833,-,0.0964,0.2444,0.3173,0.52,151.2471,0.1713,-
C_S_V0_271_5fold_1_20200712222829,kg12,False,sharing,0.01,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712222851/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712222851/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712222851/valid2/"" ",0.2407,0.4308,0.5163,0.6878,95.622,0.334,0.1307,0.3067,0.3916,0.6093,144.3484,0.2176,-,0.1764,0.4404,0.548,0.7987,49.2053,0.3005,-
C_S_V0_271_5fold_1_20200712222929,kg12,False,sharing,0.01,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712222952/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712222952/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712222952/valid2/"" ",0.2463,0.4331,0.518,0.6738,102.4016,0.3395,0.1231,0.2978,0.3862,0.6044,147.6391,0.2089,-,0.1827,0.436,0.5511,0.7964,48.5822,0.3026,-
C_S_V0_271_5fold_1_20200712223029,kg12,False,sharing,0.01,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712223053/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712223053/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712223053/valid2/"" ",0.2559,0.4438,0.518,0.6845,95.9348,0.3446,0.132,0.3058,0.3929,0.6098,140.1724,0.2196,-,0.1889,0.4413,0.552,0.7938,48.032,0.31,-
C_S_V0_271_5fold_1_20200712234953,kg1,False,non-sharing,0.01,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235010/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235010/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235010/valid2/"" ",-,-,-,-,-,-,0.1089,0.2689,0.3467,0.5551,167.6071,0.1885,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200712235053,kg1,False,non-sharing,0.01,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235110/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235110/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235110/valid2/"" ",-,-,-,-,-,-,0.1133,0.2711,0.3444,0.5547,167.376,0.1913,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200712235153,kg1,False,non-sharing,0.01,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235211/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235211/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235211/valid2/"" ",-,-,-,-,-,-,0.1111,0.2622,0.3431,0.5582,165.0658,0.1887,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200712235253,kg1,False,non-sharing,0.01,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235312/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235312/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235312/valid2/"" ",-,-,-,-,-,-,0.1124,0.268,0.3556,0.5609,164.3964,0.1929,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200712235338,kg2,False,non-sharing,0.01,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235401/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235401/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235401/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.1973,0.4489,0.5631,0.8062,47.9502,0.318,-
C_S_V0_271_5fold_1_20200712235438,kg2,False,non-sharing,0.01,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235502/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235502/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235502/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.188,0.4409,0.564,0.8018,48.8542,0.3103,-
C_S_V0_271_5fold_1_20200712235538,kg2,False,non-sharing,0.01,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235602/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235602/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235602/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.1982,0.4462,0.5644,0.8009,47.7182,0.3172,-
C_S_V0_271_5fold_1_20200712235638,kg2,False,non-sharing,0.01,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235704/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235704/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200712235704/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.204,0.4364,0.5596,0.7982,48.6951,0.3201,-
C_S_V0_271_5fold_1_20200713004721,kg1,False,non-sharing,0.01,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713004741/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713004741/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713004741/valid2/"" ",-,-,-,-,-,-,0.1116,0.2644,0.3444,0.5636,168.1964,0.1879,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713004821,kg1,False,non-sharing,0.07,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713004841/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713004841/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713004841/valid2/"" ",-,-,-,-,-,-,0.1413,0.3138,0.4,0.6209,147.8444,0.2285,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713004921,kg1,False,non-sharing,0.07,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713004942/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713004942/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713004942/valid2/"" ",-,-,-,-,-,-,0.144,0.3173,0.4062,0.624,146.5778,0.2308,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713005021,kg1,False,non-sharing,0.07,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713005044/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713005044/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713005044/valid2/"" ",-,-,-,-,-,-,0.1378,0.3258,0.412,0.6164,146.9244,0.2283,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713014501,kg1,False,non-sharing,0.07,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014520/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014520/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014520/valid2/"" ",-,-,-,-,-,-,0.136,0.3151,0.4058,0.6156,150.2773,0.225,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713014601,kg1,False,non-sharing,0.07,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014622/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014622/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014622/valid2/"" ",-,-,-,-,-,-,0.1364,0.3187,0.4116,0.6236,145.5289,0.2273,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713014701,kg1,False,non-sharing,0.1,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014722/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014722/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014722/valid2/"" ",-,-,-,-,-,-,0.1364,0.3218,0.4049,0.6236,148.6649,0.2254,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713014801,kg1,False,non-sharing,0.1,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014824/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014824/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713014824/valid2/"" ",-,-,-,-,-,-,0.1409,0.3182,0.4124,0.6164,145.7849,0.229,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713021328,kg12,False,sharing,0.01,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021354/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021354/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021354/valid2/"" ",0.2464,0.4286,0.5068,0.6726,103.144,0.3344,0.1329,0.3013,0.3871,0.6022,148.0151,0.2182,-,0.1769,0.4316,0.5462,0.792,49.912,0.2981,-
C_S_V0_271_5fold_1_20200713021428,kg12,False,sharing,0.01,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021456/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021456/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021456/valid2/"" ",0.2402,0.4387,0.518,0.6901,98.5309,0.3355,0.1369,0.3044,0.3929,0.6129,143.4489,0.2196,-,0.1844,0.4364,0.5413,0.7938,48.88,0.3039,-
C_S_V0_271_5fold_1_20200713021528,kg12,False,sharing,0.07,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021557/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021557/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021557/valid2/"" ",0.3116,0.5231,0.5945,0.7322,86.4319,0.4101,0.1636,0.3409,0.428,0.644,132.2676,0.2521,-,0.1951,0.4636,0.5791,0.8213,43.2809,0.3217,-
C_S_V0_271_5fold_1_20200713021628,kg12,False,sharing,0.07,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021659/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021659/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021659/valid2/"" ",0.3166,0.5141,0.5895,0.739,84.3408,0.4125,0.1529,0.3431,0.4293,0.6484,132.4471,0.2458,-,0.2022,0.4578,0.5733,0.8302,42.1938,0.3272,-
C_S_V0_271_5fold_1_20200713024259,kg1,False,non-sharing,0.1,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024317/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024317/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024317/valid2/"" ",-,-,-,-,-,-,0.1342,0.3111,0.4067,0.6156,144.6044,0.2235,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713024359,kg1,False,non-sharing,0.1,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024420/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024420/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024420/valid2/"" ",-,-,-,-,-,-,0.1373,0.3258,0.4089,0.6138,149.2347,0.2272,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713024459,kg1,False,non-sharing,0.1,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024521/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024521/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024521/valid2/"" ",-,-,-,-,-,-,0.1378,0.3116,0.4053,0.6076,148.7813,0.2245,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713030318,kg2,False,non-sharing,0.01,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030340/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030340/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030340/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.204,0.4431,0.56,0.8027,47.1609,0.3195,-
C_S_V0_271_5fold_1_20200713030418,kg2,False,non-sharing,0.07,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030440/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030440/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030440/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2098,0.4564,0.5782,0.8218,43.6693,0.3308,-
C_S_V0_271_5fold_1_20200713030518,kg2,False,non-sharing,0.07,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030543/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030543/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030543/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2093,0.4653,0.5836,0.8187,43.6853,0.3337,-
C_S_V0_271_5fold_1_20200713030618,kg2,False,non-sharing,0.07,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030644/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030644/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030644/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2093,0.4596,0.5813,0.8191,42.8836,0.3323,-
C_S_V0_271_5fold_1_20200713053849,kg2,False,non-sharing,0.07,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713053909/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713053909/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713053909/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2062,0.4689,0.5831,0.8222,42.4453,0.3326,-
C_S_V0_271_5fold_1_20200713053949,kg2,False,non-sharing,0.07,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054010/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054010/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054010/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.212,0.4649,0.5831,0.8222,44.0898,0.3367,-
